ID      UI图片名称 文件名称

10001 图标2 icon_08

10002 图标1 npchat_icon_attack

10003 图标3 icon_bean

10004 图标4 icon_blood

10005 图标183 icon_box

10006 图标184 icon_camera

10007 图标185 icon_card

10008 图标26 icon_Certified_Studio

10009 图标186 icon_chat

10010 图标27 icon_coin

10011 标签2 btn_returnhome

10012 标签1 label_information_bg

10013 标签3 label_information_download

10014 标签4 label_information_green

10015 标签5 label_information_purple

10016 标签6 label_information_red

10017 标签7 label_information_share

10018 标签8 label_notice_aqua

10019 标签9 label_notice_aqua_b

10020 标签10 label_notice_blue

10021 按钮3 btn_bigsquare_yellow

10022 底板59 btn_circle_blue

10023 底板88 btn_circle_gray

10024 按钮46 btn_close_banner

10025 按钮47 close_button

10026 按钮48 btn_help

10027 标签62 btn_mini_gray_r

10028 按钮4 btn_middle_blue

10029 按钮5 btn_square_blue1

10030 按钮6 btn_superbig_yellow

10031 底板30 img_icon_lignt

10032 底板40 img_icon_shortcut

10033 底板41 tab_book_left_h

10034 底板42 tab_clip_left_h

10035 底板43 tab_book_left_n

10036 底板44 tab_right_h

10037 底板45 btn_entry_develop

10038 底板46 board_activity_box_blue

10039 底板47 btn_price

10040 底板48 img_icon_green

10041 标签11 need

10042 背景图1 board_activity_box_white

10043 底板69 img_board_scoring_sel

10044 背景图2 img_play_revise

10045 背景图3 img_play_standard

10046 背景图4 img_play_setup

10047 底板108 img_land_2

10048 背景图5 img_box_Dark

10049 背景图6 frame_title_board_dark

10050 底板70 img_bd_white50_circle

10051 文字1 ico_lv1

10052 文字2 ico_lv2

10053 文字3 ico_lv3

10054 文字4 ico_lv4

10055 文字5 ico_lv5

10056 边框21 icon_minus_white

10057 边框1 lzy_37

10058 边框10 frame_commend

10059 边框11 frame_sink

10060 边框12 sel_icon_custom

10061 边框13 sel_icon_map

10062 边框2 sight

10063 边框3 operating_special_effects

10064 边框14 img_item__box_selected

10065 边框15 img_frame_activity

10066 图标187 ico_model_top

10067 图标188 icon_collect

10068 图标28 icon_exp

10069 图标189 icon_cottage

10070 图标190 icon_custom

10071 图标29 icon_dress_open

10072 图标191 icon_friendshome

10073 图标192 icon_flag

10074 图标30 icon_fans_white

10075 图标193 icon_garden

10076 图标31 icon_gift_minipoint

10077 图标32 icon_giftback

10078 图标33 icon_give_

10079 图标34 icon_homelv

10080 图标35 icon_homecoin

10081 图标36 icon_home_shop_o

10082 图标37 icon_like_h

10083 图标38 icon_like_n

10084 图标39 icon_notice

10085 图标194 icon_pet

10086 图标195 icon_petcomposition

10087 图标196 icon_petexploration

10088 图标197 icon_quality

10089 图标40 icon_reward_consume

10090 图标170 icon_season1

10091 图标171 icon_score_white

10092 图标41 icon_warn

10093 图标42 icon_xingxing

10094 图标198 icon_workshop_b

10095 图标43 icon_video_white

10096 图标44 icon_speed

10097 图标45 icon_shop_entry

10098 图标46 icon_backpack

10099 图标47 icon_official_pre

10100 图标48 icon_praise_h

10101 图标49 icon_score

10102 图标50 icon_star_yellow

10103 图标51 icon_tipoff_o

10104 图标52 icon_fire

10105 图标53 icon_fire01

10106 图标54 icon_form_bow

10107 图标55 icon_form_equipment

10108 图标56 icon_form_food

10109 图标57 icon_form_gun

10110 图标58 icon_form_mess

10111 图标59 icon_form_missile

10112 图标60 icon_form_package

10113 图标61 icon_form_tool

10114 图标104 npchat_icon_juqing

10115 图标105 npchat_icon_juqing_d

10116 图标15 npcshop_icon

10117 标签12 label_notice_darkorange

10118 标签13 label_notice_gray

10119 标签14 label_notice_green

10120 标签15 label_notice_olive

10121 标签16 label_notice_orange1

10122 标签17 label_notice_orangered

10123 标签18 label_notice_orchid

10124 标签19 label_notice_pink

10125 标签20 label_notice_purple

10126 标签21 label_notice_radient_purple

10127 标签22 label_notice_radient_red

10128 标签23 label_notice_red

10129 标签24 label_notice_royalblue

10130 标签25 label_ser_sel

10131 标签26 label_trends_official

10132 标签27 laber_map_connoisseur

10133 标签28 label_map_blue

10134 标签29 label_map_blue2

10135 标签30 label_map_gray

10136 标签31 label_map_green

10137 标签32 label_map_green2

10138 标签33 label_map_orange

10139 标签34 label_map_purple

10140 按钮7 board_check_d

10141 按钮8 board_map_info

10142 按钮9 board_map_page

10143 按钮10 board_more

10144 按钮11 btn_safe_middle

10145 按钮12 btn_safe_up

10146 按钮13 btn_trending_yellow

10147 按钮49 img_arrow_arrowhead_n

10148 标签63 img_develop_level

10149 标签64 img_num_tips

10150 按钮50 img_page_arrow

10151 按钮51 icon_use

10152 按钮52 icon_sneak

10153 按钮53 icon_up_down

10154 底板71 img_board_res

10155 按钮67 icon_rocker

10156 按钮68 icon_obstruct

10157 按钮69 icon_position

