ID 投掷物名称

26 漂流瓶

27 远方的漂流瓶

9997 微缩投掷

10100

10103

10122 手持布丁

10123 传送球

11424 投射物-椰子炮弹

11551 破坏方块

11552 放置方块

11553 替换方块

11554 攻击

11555 击飞

11556 召唤

11557 加状态

11558 发射投掷物

11559 治疗

11586 平凡法球

11587 炽烈法球

11588 雷电法球

11589 淬毒法球

11590 复苏法球

11592 回旋镖

11595 苔藓球

11629 召唤法球

11630 剧毒瓶

11631 解毒粉包

11636 破损的元素核

11637 熔化剂

11638 音爆罐子

11651 空气球

11652 海灵守卫-水柱

11654 彼岸菠萝

11657 发光的荧光棒

11658 耗尽的荧光棒

11660 大椰子（掉落中）

11661 异化大椰子（掉落中）

11662 海马水泡

11663 水母闪电特效

11669 冰魄法球

11670 极寒域法球

11671 法阵冰凌

11672 冰雾瓶

11673 冰凌（掉落中）

11674 脆冰凌（掉落中）

12002 石矛

12004 黄铜矛

12013 能量矛

12006 钩爪头部

12007 激光武器

12008 塞子头部

12009 核心的激光

12051 石箭

12052 嘟嘟鸟蛋

12053 企鹅蛋

12054 小沙包

12057 圣诞小雪球

12058 红色福袋

12059 汤圆

12060 紫色福袋

12062 海洋箭

12063 魔鬼鱼叉

12068 雪球-投掷物

12240 小彩蛋

12248 彩蛋

12249 彩弹枪子弹

12280 大爆竹

12282 石子

12285 火箭弹

12286 金色福袋

12287 泡泡球

12289 蜂刺飞镖

12290 荧光球

12292 脉冲箭

12295 钢珠

12296 桌球

12297 排球

12298 木箱子

12299 无畏导弹(威震天)

12300 星星弹

12308 帝皇炮

12588 变蛋枪子弹

12590 荧光弹

12591 荧光球

12619 刺球

12620 海盗船掉的箱子

12625 冰石

12726 普通鱼漂

12727 角珊瑚鱼漂

12728 气泡珊瑚鱼漂

12729 圆盘珊瑚鱼漂

12730 树珊瑚鱼漂

12836 红色新年烟花

12837 紫色新年烟花

12838 绿色新年烟花

15003 子弹

15007 罐装手雷

15008 菠萝手雷

15050 投射物-野人投矛手

15051 投射物-硫黄弓手

15052 投射物-小恶魔

15053 投射物-野生团子

15054 投射物-黑龙火球

15055 投射物-黑龙熔岩石柱

15056 投射物-黑龙熔岩球

15057 投射物-黑龙混乱球

15058 投射物-小外星人A（炸弹）

15059 投射物-小外星人B（冰锥）

15060 投射物-小外星人C（岩浆球）

15061 投射物-萌眼叮叮（巨型炸弹）

15062 投射物-萌眼咚咚（巨型冰锥）

15063 投射物-萌眼当当（巨型岩浆球）

15064 投射物-萌眼叮咚（冰炸弹）

15065 投射物-萌眼叮当（火炸弹）

15066 投射物-萌眼咚当（冰火球）

15067 投射物-萌眼咻咻（重力结晶）

15068 投射物-混乱弓手

15069 投射物-远程守卫-石子

15070 投射物-远程守卫-石矛

15071 投射物-远程守卫-箭

15073 投射物-沙球

15074 投射物-沙矛

15075 投射物-骆驼口水

15076 投射物-实心秘银弹

15505 虚空巨石

15506 圆球爆弹

15507 冰锥

15508 熔岩球

15509 萌眼星BOSS-击飞激光

15510 萌眼星BOSS-冰冻激光

15511 萌眼星BOSS-爆炸激光

15512 萌眼星BOSS-岩石海啸

15513 萌眼星BOSS-蓝色手臂技能

15514 萌眼星BOSS-白色手臂技能

15515 萌眼星BOSS精英怪-蓝色投掷

15516 萌眼星BOSS精英怪-白色投掷

15517 萌眼星BOSS精英怪-蓝色技能

15518 萌眼星BOSS精英怪-白色技能

15519 黑龙熔岩球

15520 黑龙混乱球

15530 物理清除弹

200382 虚空果实

200389 虚空果实超级无敌大漩涡炸弹

540011 黄铜斧+石矛

540012 黄铜斧+黄铜矛

540013 黄铜斧+能量矛

540024 石斧+石矛

540025 石斧+黄铜矛

540026 石斧+能量矛

540039 秘银斧+石矛

540040 秘银斧+黄铜矛

540041 秘银斧+能量矛

540055 钛合金斧+石矛

540056 钛合金斧+黄铜矛

540057 钛合金斧+能量矛

540072 链锯+石矛

540073 链锯+黄铜矛

540074 链锯+能量矛

540086 黄铜镐+石矛

540087 黄铜镐+黄铜矛

540088 黄铜镐+能量矛

540099 石镐+石矛

540100 石镐+黄铜矛

540101 石镐+能量矛

540114 秘银镐+石矛

540115 秘银镐+黄铜矛

540116 秘银镐+能量矛

540130 钛合金镐+石矛

540131 钛合金镐+黄铜矛

540132 钛合金镐+能量矛

540148 钻头+石矛

540149 钻头+黄铜矛

540150 钻头+能量矛

540165 星瞳钻头+石矛

540166 星瞳钻头+黄铜矛

540167 星瞳钻头+能量矛

540179 黄铜铲+石矛

540180 黄铜铲+黄铜矛

540181 黄铜铲+能量矛

540192 石铲+石矛

540193 石铲+黄铜矛

540194 石铲+能量矛

540207 秘银铲+石矛

540208 秘银铲+黄铜矛

540209 秘银铲+能量矛

540223 钛合金铲+石矛

540224 钛合金铲+黄铜矛

540225 钛合金铲+能量矛

540240 钨金铲+石矛

540241 钨金铲+黄铜矛

540242 钨金铲+能量矛

540254 黄铜耙+石矛

540255 黄铜耙+黄铜矛

540256 黄铜耙+能量矛

540267 石耙+石矛

540268 石耙+黄铜矛

540269 石耙+能量矛

540282 秘银耙+石矛

540283 秘银耙+黄铜矛

540284 秘银耙+能量矛

