ID 唯一id（=id*1000+Tunestonelevel） 新附魔名字

ID keyid Name

5 5001 击飞

5 5002 击飞

5 5003 击飞

6 6001 锐利

6 6002 锐利

6 6003 锐利

7 7001 人类猎手

7 7002 人类猎手

7 7003 人类猎手

8 8001 野兽猎手

8 8002 野兽猎手

8 8003 野兽猎手

9 9001 精英猎手

9 9002 精英猎手

9 9003 精英猎手

29 29001 野人猎手

29 29002 野人猎手

29 29003 野人猎手

10 10001 点燃

10 10002 点燃

10 10003 点燃

11 11001 击退距离增加

11 11002 击退距离增加

11 11003 击退距离增加

12 12001 狩猎幸运

12 12002 狩猎幸运

12 12003 狩猎幸运

13 13001 强力射击

13 13002 强力射击

13 13003 强力射击

14 14001 无限射击

14 14002 无限射击

14 14003 无限射击

15 15001 耐久

15 15002 耐久

15 15003 耐久

16 16001 近战抗性

16 16002 近战抗性

16 16003 近战抗性

17 17001 远程抗性

17 17002 远程抗性

17 17003 远程抗性

18 18001 爆炸抗性

18 18002 爆炸抗性

18 18003 爆炸抗性

19 19001 燃烧抗性

19 19002 燃烧抗性

19 19003 燃烧抗性

20 20001 毒素抗性

20 20002 毒素抗性

20 20003 毒素抗性

21 21001 混乱抗性

21 21002 混乱抗性

21 21003 混乱抗性

22 22001 反击

22 22002 反击

22 22003 反击

23 23001 击退距离减少

23 23002 击退距离减少

23 23003 击退距离减少

24 24001 完整获取

24 24002 完整获取

24 24003 完整获取

25 25001 挖掘速度

25 25002 挖掘速度

25 25003 挖掘速度

26 26001 挖掘幸运

26 26002 挖掘幸运

26 26003 挖掘幸运

27 27001 爆炸射击

27 27002 爆炸射击

27 27003 爆炸射击

28 28001 龙之缓落

28 28002 龙之缓落

28 28003 龙之缓落

30 30001 速降（护腿）

30 30002 速降（护腿）

30 30003 速降（护腿）

31 31001 爬墙（鞋子）

31 31002 爬墙（鞋子）

31 31003 爬墙（鞋子）

32 32001 流血

32 32002 流血

32 32003 流血

33 33001 闪电鞭

33 33002 闪电鞭

33 33003 闪电鞭

34 34003 闪电鞭

35 35003 闪电鞭

36 36001 钓鱼幸运

36 36002 钓鱼幸运

36 36003 钓鱼幸运

37 37001 御寒

37 37002 御寒

37 37003 御寒

38 38001 冰冻抗性

38 38002 冰冻抗性

38 38003 冰冻抗性

39 39003 工具庇佑

40 40003 武器庇佑

41 41003 装备庇佑

42 42001 冰伤

42 42002 冰伤

42 42003 冰伤

43 43001 近战物理伤害加成

43 43002 近战物理伤害加成

43 43003 近战物理伤害加成

44 44001 坚毅

44 44002 坚毅

44 44003 坚毅

45 45001 远程保护

45 45002 远程保护

45 45003 远程保护

46 46001 爆炸保护

46 46002 爆炸保护

46 46003 爆炸保护

47 47001 韧性恢复速度

47 47002 韧性恢复速度

47 47003 韧性恢复速度

48 48001 跳高高

48 48002 跳高高

48 48003 跳高高

49 49001 变变变

49 49002 变变变

49 49003 变变变

50 50001 耐久保护

50 50002 耐久保护

50 50003 耐久保护

51 51001 快速钓鱼

51 51002 快速钓鱼

51 51003 快速钓鱼

52 52001 迟缓

52 52002 迟缓

52 52003 迟缓

53 53001 挖掘体力降低

53 53002 挖掘体力降低

53 53003 挖掘体力降低

54 54001 陨石落

54 54002 陨石落

54 54003 陨石落

55 55001 星星经验加成

55 55002 星星经验加成

55 55003 星星经验加成

56 56001 技能疾速

56 56002 技能疾速

56 56003 技能疾速

57 57001 最后一击

57 57002 最后一击

57 57003 最后一击

58 58001 击退抗性

58 58002 击退抗性

58 58003 击退抗性

59 59001 野兽伤害加成

59 59002 野兽伤害加成

59 59003 野兽伤害加成

60 60001 野人伤害加成

60 60002 野人伤害加成

60 60003 野人伤害加成

61 61001 精英伤害加成

61 61002 精英伤害加成

61 61003 精英伤害加成

62 62001 虚空伤害加成

62 62002 虚空伤害加成

62 62003 虚空伤害加成

63 63001 外星伤害加成

63 63002 外星伤害加成

63 63003 外星伤害加成

64 64001 水生伤害加成

64 64002 水生伤害加成

64 64003 水生伤害加成

