ID 渠道名称

1 官网移动

2 4399移动

3 UC

4 咪咕

5 沃商店

6 爱游戏

7 华为

8 百度91

9 当乐

10 联想应用中心

11 魅族

12 小米

13 oppo

14 安智

15 360移动

17 百度多酷

18 百度手机助手

19 百度贴吧

21 腾讯应用宝

29 美图

30 拇指玩

31 机锋

32 金立

33 木蚂蚁

34 豌豆荚

35 酷派

36 vivo

37 乐视

38 搜狗浏览器

39 搜狗手机助手

40 搜狗输入法

41 搜狗搜索

42 搜狗游戏

45 苹果

47 腾讯QQ大厅移动

49 三星

50 海信

51 腾讯极光

52 苹果分包1

53 苹果分包4399

60 快发助手

61 天天游戏中心

62 cpsGG助手

63 cps捷酷

64 cps聚丰

65 cps酷比

66 cps雷震

67 cps努比亚

68 cps青橙

69 cps锤子

70 cps友方

71 cps中兴

72 CPS多玩

73 CPS应用汇

74 CPS移动MM

75 CPS青柠

303 海外谷歌

345 海外IOS

999 内网pc

110 官网PC

99 国内先遣服移动

199 国内先遣服PC

