ID 生物模型名称

2 卡卡

8 妮妮

3240 雪球

3898 聚宝盆

3899 宝箱

13800 轨道车

13802 运输轨道车

13808 河灯

100003 塔防模板弓箭手

100007 巨型咕噜水母

100008 远古黑龙

100009 乌贼

100010 鳐鱼

100011 熔岩巨人

100014 备用ID

100026 生物模型

100027 野萌宝

100028 野人投矛手

100029 灯笼鱼

100030 年兽野生

100031 福球

100032 小恶魔野生

100033 恶霸屠夫

100034 稻草人

100035 团子

100037 蝙蝠

100038 足球

100040 萌眼叮叮

100041 萌眼咚咚

100042 萌眼当当

100043 萌眼叮叮

100044 萌眼咚咚

100045 萌眼当当

100046 萌眼叮咚

100047 萌眼叮当

100048 萌眼咚当

100049 萌眼咻咻

100050 远古巨像

100051 远古叮叮

100052 远古咚咚

100053 远古当当

100054 远古巨人

100055 篮球

100056 野人伙伴

100057 萌宝伙伴

100058 猎手伙伴

100059 野人纪念包裹

100060 羽蛇神

100061 猴子

100062 豹子

100063 毒素野人祭司

100064 祈愿树2

100065 祈愿树1

100066 符文怪

100067 驯服的焱焱蟹（坐骑）

100068 虚空幻影-迅

100069 虚空幻影-猛

100070 焱焱蟹

100071 庆典野人

100072 山臊小怪

100073 年兽山臊

100075 沙原领主

100076 毒尾蝎

100077 骆驼

100078 沙灵守卫

100079 沙漠狼

100080 鲨鱼

100081 荧光棒藻鱼

100082 水母

100083 海马

100084 小海马

100085 魔鬼鱼

100086 螃蟹

100087 海灵守卫

100088 小型海盗船

100089 中型海盗船

100090 海鸥

100091 飞鱼

100092 大型海盗船

100093 炸弹小船

100094 骷罗

100095 出气外星人

100096 冰灵守卫

100097 寒霜野人祭司

100098 冰陨巨魔

110001 小墩墩

110002 墩墩

110003 嘟嘟鸟

110004 小嘟嘟鸟

110005 猪

110006 马

110007 鸡

110008 小鸡

110009 小狐狸

110010 家园农场动物9

110011 小飞鸡

110014 小马

110015 家园农场动物11

110017 家园农场动物18

110018 家园农场动物13

110022 家园农场动物10

110024 家园农场动物14

110029 角鹿

110030 小羊

110031 沃沃兽

110032 小牛

110033 爆爆蛋

110035 虚空使徒

110037 农场幼年动物9

110038 农场幼年动物8

110039 农场幼年动物11

110040 普通化石龙

110041 小飞鼠

110042 普通麒麟

110053 小陆行鸟

110054 哮天犬

110055 小黄鸡

110056 蜜蜂

110057 萤火虫

110058 火箭

110059 家园农场动物19

110060 尖叫鸡

110061 家园农场动物20

110062 小白象

110063 海豹水手

110064 变形金刚占用

110065 变形金刚占用

110066 变形金刚占用

110067 猫宝宝

110068 天马宝宝

110069 青竹坐台

110070 变形金刚占用

110071 变形金刚占用

110072 变形金刚占用

110073 大地领主

110074 月明星稀

110075 变形金刚占用

110076 变形金刚占用

110077 变形金刚占用

110078 兔子先生拉比

110079 暖冬祝福

110080 缤纷幻想

110081 福运哞哞

110082 浮游山海

110083 牛魔王

110084 步步生莲

110085 九色鹿0

110086 雀莺

110087 红薇蝶

110088 小猴子

110089 南瓜车0

110090 竹蜻蜓0级

110091 白天鹅0级

110092 黑飞机0级

110093 白飞机0级

110094 小汽车0级

110095 环海洛洛0级

110096 尼东洛洛0级

110097 龙坐骑0级

110098 画舫0级

110099 灯谜鸟

110100 魔毯0级

110101 机械鸟0级

110102 打碟机0级

110103 花架0级

110104 扇子0级

110105 帝皇驹0级

110106 旺财0级

110107 帝皇侠0级

110108 布老虎0级

110109 米兰达0级

110110 星语心愿

110112 画卷0级

110113 逐影之钥

110114 天幕星龙 卡珀0级

110115 御剑0级

110116 浴缸0级

110117 喵萌敞篷车

110118 狐灵俐

110119 驼铃声声

110120 青绿

110121 心里软

110122 遥相思

110123 月中桂

110124 枫潮滑板

110125 紫幽铃

110126 秘境精灵 菲丽茜亚0级

110127 猪宝宝

110128 妆盒坐骑0级

110129 淡蓝呆呆鱼

110130 淡蓝奇奇鱼

110131 粉红丑丑鱼

110132 迷乱

110133 机械蝙蝠

110134 激光鸟

110135 机械狗

110136 雪花0级

110137 兔子坐骑0级

110138 魔藤圣导 菲丽茜亚0级

110139 迷你变形车0级

110140 庆典之书0级

110141 咕噜兽0级

110142 粽香摇0级

110143 变形金刚占用

110144 山川云海0级

110146 雪兔

110147 藏狐

110148 牦牛

110149 小牦牛

110150 邂逅甜心0级

120004 皮筏

120008 龙舟

120009 扭蛋机

120012 漂流瓶（生物）

120013 远方的漂流瓶（生物）

120014 小玻璃瓶（生物）

130001 沙漠商人

130002 神秘星球人

130003 冰原商人

130004 啦啦队长克莱尔

130005 宇宙商人

130006 斯科特·李

130007 哥伦布·李

130008 库克·李

130009 马可·李

130010 达尔文·李

130011 大山

130012 空岛商人

130013 心愿商人

130025 沙漠特殊商人

130026 沙漠小男孩村民

130027 沙漠年轻男村民

130028 沙漠年轻女村民

130029 沙漠中年女村民

130030 沙漠中年男村民

130031 沙漠小女孩村民

130032 沙漠普通商人1

130033 沙漠普通商人2

130034 渔村女村民1

130035 渔村男村民1

130036 渔村男村民2

130037 渔村女村民2

130038 渔村男性儿童

130039 渔村女性儿童

130040 渔村传奇钓手

130041 海岛商人

130042 海盗掠夺者

130043 海盗猎手

130044 海盗商人

130046 珍珠

130048 冰原村民

130049 冰原萌宝

130050 雪人

140037 备用ID

140077 宠物探险队长

140085 宠物商人

150001 家园果实

150002 家园果实

150003 家园果实

150004 家园果实

150005 家园果实

150010 小龙蛋

150011 黑龙蛋

150012 黑龙崽

150013 小雏鹦

150014 球鹦鹉

150015 金羽鹦鹉

150016 小火星

150017 暖暖团子

150018 爆热团团

150019 小蝌丁

150020 跳跳蛙

150021 忍忍蛙

150022 小孢子

150023 嫩叶团子

150024 豪华团

150025 小泡沫

150026 泡泡团子

150027 圆泡团

150028 小黑猫

150029 黑炭猫

150030 黑黝黝

150031 迷你汪

150032 大耳汪

150033 汪汪警长

150034 小球豹

150035 球球豹

150036 球豹王子

150037 小兔叽

150038 兔叽

150039 玉兔叽

150040 小石子

150041 岩石团

150042 巨岩团

150043 小灵球

150044 幽幽球

150045 幽灵王球

150046 小孔雀

150047 雏孔雀

150048 丰羽孔雀

150049 小猕猴

150050 奏乐猴

150051 梵音猴

150052 小麦

150053 小麦

150054 小麦

150055 小卷

150056 小卷

150057 小卷

150058 花生

150059 花生

150060 花生

150061 小创喵

150062 创极喵

150063 创极虎

150064 爱心宝宝

150065 艾宝

150066 艾可兔

150067 闪月灯

150068 皎月灯

150069 满月灯

150070 小酷仔

150071 动感汪

150072 电波犬

150073 小咩团

150074 心羊羊

150075 爱心咩

150076 嘤嘤嗡嗡

150077 孪生蜂蛹

150078 双极纤蜂

150079 招财荷包

150080 聚宝袋

150081 送福金虎

