 ID      自定义效果名称

1001 改变移动速度

1002 改变挖掘速度

1003 改变伤害倍率

1004 跳跃

1005 改变最大生命值/饥饿度

1006 持续改变饥饿度

1007 持续恢复生命值

1008 持续受到伤害

1009 视野亮度

1010 受伤倍率

1011 饥饿流失速度

1012 幸运

1013 击退强化

1014 击退抵抗

1015 模型体积

1016 改变模型

1017 晕头转向

1018 无敌

1019 泡泡

1020 无法移动

1021 氧气

1022 吸收伤害

1023 改变攻击力

1024 攻击击飞

1025 攻击附加状态

1026 改变防御值

1027 反伤

1028 爬墙

1029 生命值恢复速度

1030 经验获取速度

1031 体力值上限百分比

1032 体力值上限值

1033 持续恢复体力值

1034 体力值消耗速率

1035 体力值恢复速率

1036 疲劳解除

1037 禁食

1038 状态开始时产出掉落物

1039 持续产出掉落物

1040 无法奔跑

1041 状态结束时产出掉落物

1042 改变模型（皮肤）

1043 持续恢复生命值

1044 持续受到伤害

1045 消耗体力受到伤害

1046 执行动作时受到伤害

1047 状态免疫

1048 附增状态

1049 禁止操作

1050 状态类型免疫

1051 坠落

1052 禁止移动

1053 发疯攻击任何生物

1054 彻底变身

1055 右键点击

1056 屏幕贴花

1057 停止动作

1058 改变贴图

1059 添加特效

1060 结束改变温度

1061 结束播放特效音效

1062 温度影响持续时间

1063 累计受到伤害解除状态

1064 持续改变温度

1065 体感温度改变

1066 改变周围温度

1067 方块凝结与融化

1068 周围随机生成方块

1069 使攻击者获得状态

1070 食物恢复量倍率改变

