序号 自定义装扮名称
6 [头饰] 邻家男孩头饰

7 [表情] 邻家男孩表情

8 [上衣] 邻家男孩上衣

9 [裤子] 邻家男孩裤子

10 [鞋子] 邻家男孩鞋子

11 [头饰] 邻家女孩头饰

12 [表情] 邻家女孩表情

13 [上衣] 邻家女孩连衣裙

14 [鞋子] 邻家女孩鞋子

15 [头饰] 足球少年头饰

16 [表情] 足球少年表情

17 [上衣] 足球少年上衣

18 [裤子] 足球少年裤子

19 [鞋子] 足球少年鞋子

20 [头饰] 足球宝贝头饰

21 [表情] 足球宝贝表情

22 [上衣] 足球宝贝上衣

23 [裤子] 足球宝贝裤子

24 [鞋子] 足球宝贝鞋子

25 [背饰] 书包

26 [头饰] 宇航员头盔

27 [表情] 宇航员表情

28 [面饰] 迷你贴纸

29 [上衣] 宇航员衣服

30 [背饰] 宇航员背包

31 [面饰] 足球贴纸

32 [面饰] 大黄奶嘴

33 [面饰] 西瓜冰棍

34 [面饰] 度假墨镜

35 [头饰] 冲浪男孩头饰

36 [表情] 冲浪男孩表情

37 [上衣] 冲浪男孩上衣

38 [裤子] 冲浪男孩裤子

39 [鞋子] 冲浪男孩鞋子

40 [背饰] 冲浪板背饰

41 [头饰] 海滨假日头饰

42 [表情] 海滨假日表情

43 [上衣] 海滨假日上衣

44 [裤子] 海滨假日裤子

45 [鞋子] 海滨假日鞋子

46 [手饰] 海滨假日手饰

47 [头饰] 浪漫绅士头饰

48 [表情] 浪漫绅士表情

49 [上衣] 浪漫绅士衣服

50 [裤子] 浪漫绅士裤子

51 [鞋子] 浪漫绅士鞋子

52 [头饰] 甜心少女头饰

53 [表情] 甜心少女表情

54 [上衣] 甜心少女衣服

55 [手饰] 甜心少女手套

56 [裤子] 甜心少女裤子

57 [鞋子] 甜心少女鞋子

58 [面饰] 爱心唇印贴纸

59 [脚印] 脚丫脚印

60 [脚印] 团子脚印

61 [脚印] 幻蓝脚印

62 [脚印] 幻音脚印

63 [鞋子] 云游剑客鞋子

64 [裤子] 云游剑客裤子

65 [上衣] 云游剑客衣服

66 [表情] 云游剑客表情

