ID 表情名称 描述

100140 打招呼 挥挥手，打声招呼

100162 疑问 小小的脑袋，大大的疑问

100159 哭泣 捂脸大哭

100158 生气 火冒三丈，气得跺脚

100163 伸懒腰 有点困，伸个懒腰

100155 高兴 露出开心的样子

100131 感谢 诚恳地鞠个躬

100130 休闲 四周望望，放松一下

100157 倒地 突然倒地

100133 pose 摆出迷人的招牌动作

100108 专属动作 柔柔专属动作

100108 专属动作 月亮公主专属动作

100108 专属动作 碧琪专属动作

100108 专属动作 星光熠熠女孩专属动作

100108 专属动作 云宝女孩专属动作

100108 专属动作 音韵公主女孩专属动作

100108 专属动作 朝露繁花专属动作

100108 专属动作 冰公主专属动作

100108 专属动作 罗丽专属动作

102001 测试互动1 落樱与雷光的互动动作

102002 测试互动2 落樱与落樱的互举动作

102003 测试互动3 落樱通用的互动动作

102001 莺飞长空-空侯 弹奏箜篌

102001 莺飞长空-莺初 旋转飞舞

100170 变装 看我华丽变身！

100155 高兴2 露出开心的样子

100858 展示武魂 唐三专属动作

100858 展示武魂 小舞专属动作

100858 展示武魂 比比东专属动作

100858 释放魂技 奥斯卡专属动作

100858 展示武魂 马红俊专属动作

100858 展示武魂 戴沐白专属动作

100858 展示武魂 朱竹清专属动作

100858 展示武魂 宁荣荣专属动作

100927 花瓣雨 菲丽茜亚专属动作

100927 花瓣雨 菲丽茜亚专属动作

