ID 合成物品名称 合成物品ID

1 不完整工匠台 800

2 木板 206

3 秋叶橙木板 207

4 象牙白木板 208

5 海棠红木板 209

6 落日橙木板 210

7 深栗红木板 211

8 漂浮的木板 248

9 水泥 11200

10 黄铜斧 11001

11 黄铜镐 11011

12 黄铜铲 11021

13 黄铜耙 11031

14 冶炼台 802

15 木料 11323

16 植物纤维 11226

17 水泥块 666

18 轻木门 812

19 绳索 813

20 简易睡袋 828

21 土块 101

22 木桩 821

23 木围栏门 535

24

25 嘟嘟鸟炖土笋 12510

26 黄铜星能幕布 815

27 棉花块 600

28 调色架 498

29 石斧 11002

30 秘银斧 11003

31 钛合金斧 11004

32 链锯 11005

33 石镐 11012

34 秘银镐 11013

35 钛合金镐 11014

36 钻头 11015

37 石铲 11022

38 秘银铲 11023

39 钛合金铲 11024

40 钨金铲 11025

41 石耙 11032

42 秘银耙 11033

43 钛合金耙 11034

44 钨金耙 11035

45 长草土块 100

46 面条 12502

47 瓶装果糖浆 11326

48 烤肉披萨 830

49 玉米点心 12507

50 象牙白颜料瓶 11500

51 巨鳞羽果种子 11402

52 巨布鲁果种子 11401

53 巨布鲁果条 12515

54 炽炎粒 11208

55 炽炎 11207

56

57 凉拌青瓜 12505

58 巨鳞羽果汁 11321

59 煎蛋面条 12540

60 烤薯条 12541

61

62 烤嘟嘟鸟全家桶 12543

63 烤肉面条 12544

64 角鹿肉煲 12545

65 火腿 12546

66 异味火腿 12547

67 ‘蟹棒’火腿 12548

68 浓缩奶糖 12549

69 香溢煎蛋面条 12550

70 香溢薯条 12551

71 香溢巨布鲁果派 12552

72 香溢玉米点心 12553

73

74 香溢青瓜 12555

75 香溢巨鳞羽果汁 12556

76 香溢水果拼盘 12557

77 香溢烤嘟嘟鸟 12558

78 香溢烤肉面条 12559

79 香溢角鹿煲 12560

80 香溢火腿 12561

81 香溢异味腿 12562

82 香溢‘蟹棒’腿 12563

83 木棒 12001

84 石矛 12002

85 短剑 12003

86 黄铜矛 12004

87 能量剑 12005

88 秘银短弓 12050

89 石箭 12051

90 皮头盔 12201

91 皮胸甲 12202

92 皮护腿 12203

93 皮靴子 12204

94 链甲头盔 12211

95 链甲胸甲 12212

96 链甲护腿 12213

97 链甲靴子 12214

98 秘银头盔 12221

99 秘银胸甲 12222

100 秘银护腿 12223

101 秘银靴子 12224

102 钛金头盔 12231

103 钛金胸甲 12232

104 钛金护腿 12233

105 钛金靴子 12234

106 钨金头盔 12241

107 钨金胸甲 12242

108 钨金护腿 12243

109 钨金靴子 12244

110 象牙白颜料瓶 11500

111 碎石块 505

112 锰块 348

113 岩石 104

114 青石 105

115 裂纹石砖 502

116 锰结核 12614

117 木荧光菇灯 905

118 石荧光菇灯 907

119 聚物手套 11231

120 星能信号灯 707

121 星能比较器 374

122 秘银弹簧 842

123 炽炎弹簧 844

124 轨道节点 725

125 动能提升节点 729

126 过山车厢 13800

127 硫黄砖薄板 512

128 薄板 514

129 秋叶橙薄板 515

130 象牙白薄板 516

131 海棠红薄板 517

132 落日橙薄板 518

133 深栗红薄板 519

134 楼梯 520

135 秋叶橙楼梯 521

136 象牙白楼梯 522

137 海棠红楼梯 523

138 落日橙楼梯 524

139 深栗红楼梯 525

140 硫黄砖楼梯 532

141 云母楼梯 533

142 曙光石块 536

143 硫黄砖块 537

144 水泥砖块 547

145 青石岩砖 503

146 青石薄板 506

147 黄砖薄板 507

148 石质薄板 509

149 水泥砖薄板 510

150 精制石砖薄板 511

151 云母薄板 513

152 黄砖楼梯 527

153 石质楼梯 529

154 水泥砖楼梯 530

155 精制石砖楼梯 531

156 碎石墙 548

157 青石墙 549

158 秘银栅栏 526

159 硫黄砖围栏 538

160 云母块 412

161 花纹云母块 413

162 竖纹云母块 414

163 凝能晶 11201

164 秘银 11209

165 缠丝玛瑙 11511

166 钨金 11203

167 琥珀 11204

168 凝能块 416

169 秘银块 411

170 炽炎块 410

171 缠丝玛瑙块 417

172 钨金块 408

173 琥珀块 409

174 透明玻璃片 649

175 细樱桃木树枝 333

176 细落叶松树枝 335

177 细珍木树枝 337

178 细核桃树树枝 339

179 细桃花树树枝 341

180 细白杨木树枝 343

181 细胡杨树枝 479

182 锯齿碎石墙 289

183 锯齿青石墙 290

184 锯齿星球岩墙 291

185 皮草床 150015

186 冰原木门 150016

187 雪人灯 150027

188 火盆灯 150018

189 冰原木桌 150020

190 冰原木椅 150021

191 冰原木柜 150022

192 冰原方木窗 150023

193 毛绒地毯 150025

194 冰原窗帘 150043

195 赫赤红颜料瓶 11514

196 鹅毛黄颜料瓶 11504

197 宝石蓝颜料瓶 11532

198 棉毡 616

199 皮筏 13807

200 厚实的雪 122

