ID        颜料瓶名称    颜色

11514 红（赫赤红） d50000

11504 黄（鹅毛黄） ffff00

11532 蓝（宝石蓝） 0d47a1

11501 橙（朱砂橙） e65100

11510 紫（青莲紫） 512da8

11513 绿（翡翠绿） 43a047

11500 白（象牙白） ffffff

11515 黑（煤乌黑） 0

11507 灰（苍石灰） 424242

11536 红橙（落日橙） ff3d00

11537 黄橙（秋叶橙） ffab40

11502 红紫（胭脂红） e91e63

11538 蓝紫（花青紫） 311b92

11539 黄绿（杨柳绿） aeea00

11509 蓝绿（青碧绿） 00796b

11506 浅红（海棠红） ff8a80

11540 浅黄（柠檬黄） fff176

11503 浅蓝（天青蓝） 82b1ff

11541 浅橙（肉桂橙） ffcc80

11542 浅紫（丁香紫） b39ddb

11505 浅绿（松花绿） 81c784

11512 深红（深栗红） 4e342e

11543 深黄（琥珀黄） 827717

11544 深蓝（藏青蓝） 1a237e

11545 深橙（焦糖橙） 795548

11546 深紫（玄黛紫） 4a148c

11547 深绿（竹青绿） 1b5e20

11508 淡灰（浅苍灰） 757575

